Branch,Code,District
Chintoor RTO,AP905,Alluri Sitarama Raju  
Paderu RTA,AP41,Alluri Sitarama Raju  
REGIONAL TRANSPORT OFFICE RAMPACHODAVARAM,AP141,Alluri Sitarama Raju  
Anakapalli RTA,AP131,Anakapalli  
Narsipatnam MVI Office,AP331,Anakapalli  
Anantapur RTA,AP2,Anantapur  
Dharamavaram unit office,AP602,Anantapur  
Guntakal UO,AP202,Anantapur  
Hindupur RTA,AP102,Anantapur  
Kalyandurg RTO office,AP702,Anantapur  
Tadipatri UO,AP402,Anantapur  
UNIT OFFICE RAYADURG,AP502,Anantapur  
Piler MVI Office,AP403,Annamayya  
Rajampet MVI Office,AP404,Annamayya  
Rayachoti MVI Office,AP504,Annamayya  
RTO MADANAPALLE,AP203,Annamayya  
BAPATLA RTO OFFICE,AP207,Bapatla  
Chittoor RTA,AP3,Chittoor  
Palamaner MVI Office,AP303,Chittoor  
Punganur UO,AP113,Chittoor  
Kovvuru UO,AP337,East Godavari  
Mandapeta UO,AP405,East Godavari  
Rajahmundry RTA,AP105,East Godavari  
JANGAREDDYGUDEM RTA,AP237,Eluru  
Nuzvid UO,AP416,Eluru  
RTA Eluru,AP37,Eluru  
Tadepalli Gudem UO,AP437,Eluru  
Chilakaluripeta MVI Office,AP307,Guntur  
Guntur RTA,AP7,Guntur  
Mangalagiri MVI Office,AP507,Guntur  
TENALI RTA,AP707,Guntur  
Peddapuram MVI Office,AP505,Kakinada  
RTA Kakinada,AP5,Kakinada  
UNIT OFFICE KATHIPUDI,AP305,Kakinada  
Amalapuram RTA,AP205,Konaseema  
Ramachandrapuram UO,AP605,Konaseema  
Ravulapalem UO,AP705,Konaseema  
Gudiwada RTA,AP116,Krishna  
Jaggayyapet UO,AP616,Krishna  
RTA MACHILIPATNAM,AP216,Krishna  
Vuyyuru UO,AP516,Krishna  
Adoni RTO,AP221,Kurnool  
Atmakur MVI Office,AP126,Kurnool  
Dhone MVI Office,AP421,Kurnool  
Kurnool RTA,AP21,Kurnool  
Atmakur-Kurnool MVI Office,AP321,Nandyal  
Nandyal RTA,AP121,Nandyal  
Gudur RTA,AP226,Nellore  
Kavali UO,AP326,Nellore  
Nellore RTA,AP26,Nellore  
Nandigama RTA,AP316,NTR  
Vijayawada RTA,AP16,NTR  
Macherla MVI Office,AP407,Palnadu  
Narasaraopet RTA,AP107,Palnadu  
Piduguralla UO,AP607,Palnadu  
PALAKONDA RTA,AP230,Parvathipuram Manyam  
PARVATHIPURAM RTO OFFICE,AP135,Parvathipuram Manyam  
Salur MVI Office,AP235,Parvathipuram Manyam  
Chirala UO,AP127,Prakasam  
Darsi UO,AP427,Prakasam  
Kandukur MVI Office,AP227,Prakasam  
Markapur UO,AP327,Prakasam  
Prakasam RTA,AP27,Prakasam  
RTO KADIRI,AP302,Sri Sathya Sai  
Itchapuram MVI Office,AP130,Srikakulam  
Palasa MVI Office,AP330,Srikakulam  
Srikakulam RTA,AP30,Srikakulam  
Tekkali MVI Office,AP430,Srikakulam  
Nagari MVI office,AP114,Tirupati  
Puttur MVI Office,AP503,Tirupati  
Srikalahasthi MVI Office,AP603,Tirupati  
Sullurpet UO,AP426,Tirupati  
Tirupati RTA,AP103,Tirupati  
Gajuwaka RTA,AP231,Visakhapatnam  
Vishakapatnam RTA,AP31,Visakhapatnam  
Vizianagaram RTA,AP35,Vizianagaram  
Bhimavaram RTA,AP137,West Godavari  
Palakole UO,AP637,West Godavari  
Tanuku UO,AP537,West Godavari  
Badvel MVI Office,AP104,Cuddapah  
Cuddapah RTA,AP4,Cuddapah  
Proddutur RTA,AP204,Cuddapah  
Pulivendula MVI Office,AP304,Cuddapah  
