Branch,Code,District
BAGALKOT  RTO,KA29,Bagalkot
JAMKHANDI  ARTO,KA48,Bagalkot  
BELLARY  RTO,KA34,Ballari
ATHANI ARTO,KA71,Belagavi
BAILHONGAL  RTO,KA24,Belagavi
CHIKKODI  RTO,KA23,Belagavi
GOKAK  ARTO,KA49,Belagavi  
RAMDURGA ARTO,KA69,Belagavi  
REGIONAL TRANSPORT OFFICE BELAGAVI,KA22,Belagavi  
DEVANAHALLI  ARTO,KA43,Bengaluru Rural
NELAMANGALA  RTO,KA52,Bengaluru Rural  
BENGALURU CENTRAL  RTO,KA1,Bengaluru Urban
BENGALURU EAST  RTO,KA3,Bengaluru Urban
BENGALURU NORTH  RTO,KA4,Bengaluru Urban
BENGALURU SOUTH  RTO,KA5,Bengaluru Urban
BENGALURU WEST  RTO,KA2,Bengaluru Urban
"CHANDAPURA, BENGALURU RTO",KA59,Bengaluru Urban
ELECTRONIC CITY  RTO,KA51,Bengaluru Urban
JNANABHARATHI  RTO,KA41,Bengaluru Urban  
KRISHNARAJAPURAM  RTO,KA53,Bengaluru Urban  
STATE TRANSPORT AUTHORITY,KA99,Bengaluru Urban  
"STU AND AUTORIKSHAW,  SHANTHINAGAR RTO",KA57,Bengaluru Urban  
YALAHANKA  RTO,KA50,Bengaluru Urban  
BASAVAKALYAN ARTO,KA56,Bidar
BHALKI  ARTO,KA39,Bidar
BIDAR  RTO,KA38,Bidar
CHAMARAJANAGAR  RTO,KA10,Chamarajanagar
CHICKABALLAPUR  RTO,KA40,Chikkaballapur
CHINTAMANI ARTO,KA67,Chikkaballapur
CHIKAMANGLUR RTO,KA18,Chikkamagaluru
"TARIKERE, CHIKKAMAGALURU ARTO",KA66,Chikkamagaluru  
CHITRADURGA  RTO,KA16,Chitradurga
BANTWALA ARTO,KA70,Dakshina Kannada
MANGALORE  RTO,KA19,Dakshina Kannada  
PUTTUR  RTO,KA21,Dakshina Kannada  
DAVANAGERE  RTO,KA17,Davanagere
DHARWAD EAST RTO,KA63,Dharwad
DHARWAD WEST RTO,KA25,Dharwad
GADAG  RTO,KA26,Gadag
HASSAN  RTO,KA13,Hassan  
SAKALESHPURA  ARTO,KA46,Hassan  
HAVERI  RTO,KA27,Haveri  
RANIBENNUR ARTO,KA68,Haveri  
KALABURAGI  RTO,KA32,Kalaburagi  
MADIKERI  RTO,KA12,Kodagu  
K G F  ARTO,KA8,Kolar  
KOLAR  RTO,KA7,Kolar  
KOPPAL  RTO,KA37,Koppal  
MANDYA  RTO,KA11,Mandya  
NAGAMANGALA  RTO,KA54,Mandya  
HUNSUR  ARTO,KA45,Mysuru  
MYSURU  EAST  RTO,KA55,Mysuru  
MYSURU WEST  RTO,KA9,Mysuru  
RAICHUR  RTO,KA36,Raichur  
RAMANAGAR  RTO,KA42,Ramanagara  
SAGAR  ARTO,KA15,Shivamogga  
SHIMOGA  RTO,KA14,Shivamogga  
"MADHUGIRI, TUMAKURU ARTO",KA64,Tumakuru  
TIPTUR  ARTO,KA44,Tumakuru  
TUMKUR  RTO,KA6,Tumakuru  
UDUPI  RTO,KA20,Udupi  
DANDELI ARTO,KA65,Uttara Kannada
HONNAVAR  ARTO,KA47,Uttara Kannada  
KARWAR  RTO,KA30,Uttara Kannada  
SIRSI  RTO,KA31,Uttara Kannada  
HOSPET  RTO,KA35,Vijayanagara  
BIJAPUR  RTO,KA28,Vijayapura
YADGIRI  RTO,KA33,Yadgir  
