Branch,Code,District
ALAPPUZHA RTO,KL4,Alappuzha  
CHENGANNUR SRTO,KL30,Alappuzha  
CHERTHALA SRTO,KL32,Alappuzha  
KAYAMKULAM SRTO,KL29,Alappuzha  
KUTTANADU SRTO,KL66,Alappuzha  
MAVELIKKARA SRTO,KL31,Alappuzha  
ALUVA SRTO,KL41,Ernakulam  
ANGAMALI SRTO,KL63,Ernakulam  
ERNAKULAM RTO,KL7,Ernakulam  
KOTHAMANGALAM SRTO,KL44,Ernakulam  
MATTANCHERRY SRTO,KL43,Ernakulam  
MUVATTUPUZHA RTO,KL17,Ernakulam  
NORTH PARUR SRTO,KL42,Ernakulam  
PERUMBAVUR SRTO,KL40,Ernakulam  
TRIPUNITHURA SRTO,KL39,Ernakulam  
DEVIKULAM SRTO,KL68,Idukki  
IDUKKI RTO,KL6,Idukki  
THODUPUZHA SRTO,KL38,Idukki  
UDUMBANCHOLA SRTO,KL69,Idukki  
VANDIPERIYAR SRTO,KL37,Idukki  
IRITTY SRTO,KL78,Kannur  
KANNUR RTO,KL13,Kannur  
PAYYANNUR SRTO,KL86,Kannur  
THALASSERY SRTO,KL58,Kannur  
THALIPARAMBA SRTO,KL59,Kannur  
KANHANGAD SRTO,KL60,Kasaragod  
KASARGODE RTO,KL14,Kasaragod  
VELLARIKUNDU SRTO,KL79,Kasaragod  
CHADAYAMANGALA SRTO,KL82,Kollam  
KARUNAGAPPALLY SRTO,KL23,Kollam  
KOLLAM RTO,KL2,Kollam  
KOTTARAKKARA SRTO,KL24,Kollam  
KUNNATHUR SRTO,KL61,Kollam  
PATHANAPURAM SRTO,KL80,Kollam  
PUNALUR SRTO,KL25,Kollam  
CHANGANACHERRY SRTO,KL33,Kottayam  
KANJIRAPPALLY SRTO,KL34,Kottayam  
KOTTAYAM RTO,KL5,Kottayam  
PALAI SRTO,KL35,Kottayam  
UZHAVOOR SRTO,KL67,Kottayam  
VAIKOM SRTO,KL36,Kottayam  
KODUVALLY SRTO,KL57,Kozhikode  
KOILANDY SRTO,KL56,Kozhikode  
KOZHIKODE RTO,KL11,Kozhikode  
NANMANDA SRTO,KL76,Kozhikode  
PERAMBRA SRTO,KL77,Kozhikode  
RAMANATTUKARA (FEROKE) SRTO,KL85,Kozhikode  
VADAKARA RTO,KL18,Kozhikode  
KONDOTTY SRTO,KL84,Malappuram  
MALAPPURAM RTO,KL10,Malappuram  
NILAMBUR SRTO,KL71,Malappuram  
PERINTHALMANNA SRTO,KL53,Malappuram  
PONNANI SRTO,KL54,Malappuram  
THIRURANGADI SRTO,KL65,Malappuram  
THIRUR SRTO,KL55,Malappuram  
ALATHUR SRTO,KL49,Palakkad  
CHITTUR SRTO,KL70,Palakkad  
MANNARGHAT SRTO,KL50,Palakkad  
OTTAPPALAM SRTO,KL51,Palakkad  
PALAKKAD RTO,KL9,Palakkad  
PATTAMBI SRTO,KL52,Palakkad  
ADOOR SRTO,KL26,Pathanamthitta  
KONNI SRTO,KL83,Pathanamthitta  
MALLAPPALLY SRTO,KL28,Pathanamthitta  
PATHANAMTHITTA RTO,KL3,Pathanamthitta  
RANNI SRTO,KL62,Pathanamthitta  
THIRUVALLA SRTO,KL27,Pathanamthitta  
ATTINGAL RTO,KL16,Thiruvananthapuram  
KATTAKADA SRTO,KL74,Thiruvananthapuram  
KAZHAKUTTOM SRTO,KL22,Thiruvananthapuram  
NATIONALISED SECTOR(TVPM) RTO,KL15,Thiruvananthapuram  
NEDUMANGADU SRTO,KL21,Thiruvananthapuram  
NEYYATTINKARA SRTO,KL20,Thiruvananthapuram  
PARASSALA SRTO,KL19,Thiruvananthapuram  
TC OFFICE,KL99,Thiruvananthapuram  
TRIVANDRUM RTO,KL1,Thiruvananthapuram  
VARKALA SRTO,KL81,Thiruvananthapuram  
CHALAKKUDY SRTO,KL64,Thrissur  
GURUVAYUR SRTO,KL46,Thrissur  
IRINJALAKUDA SRTO,KL45,Thrissur  
KODUNGALLUR SRTO,KL47,Thrissur  
THRIPRAYAR SRTO,KL75,Thrissur  
THRISSUR RTO,KL8,Thrissur  
WADAKKANCHERRY SRTO,KL48,Thrissur  
MANANTHAVADY SRTO,KL72,Wayanad  
SULTHANBATHERY SRTO,KL73,Wayanad  
WAYANAD RTO,KL12,Wayanad  
