Branch,Code,District
ARIYALUR RTO,TN61,Ariyalur
CHENGALPATTU RTO,TN19,Chengalpattu
MADURANTAGAM UO,TN508,Chengalpattu
TAMBARAM RTO,TN513,Chengalpattu  
THIRUKALUKUNTRAM UO,TN639,Chengalpattu  
AMBATTUR RTO,TN612,Chennai
CHENNAI (CENTRAL) RTO,TN1,Chennai
CHENNAI (EAST) RTO,TN4,Chennai
CHENNAI (NORTH-EAST) RTO,TN3,Chennai
CHENNAI (NORTH) RTO,TN5,Chennai
CHENNAI (SOUTH-EAST) RTO,TN6,Chennai
CHENNAI (SOUTH) RTO,TN7,Chennai
CHENNAI (SOUTH-WEST) RTO,TN10,Chennai
CHENNAI (WEST) RTO,TN9,Chennai
MEENAMBAKKAM RTO,TN22,Chennai
POONAMALLEE RTO,TN511,Chennai
RTO CHENNAI (NORTH WEST),TN2,Chennai  
SHOLINGANALLUR RTO,TN512,Chennai  
STATE TRANSPORT AUTHORITY,TN999,Chennai  
COIMBATORE (CENTRAL) RTO,TN66,Coimbatore
COIMBATORE (NORTH) RTO,TN38,Coimbatore
COIMBATORE (SOUTH) RTO,TN37,Coimbatore
COIMBATORE (WEST) RTO,TN99,Coimbatore
METTUPALAYAM RTO,TN40,Coimbatore
POLLACHI RTO,TN41,Coimbatore
SULUR UO,TN620,Coimbatore  
VALPARAI UO,TN633,Coimbatore  
CHIDAMBARAM RTO,TN544,Cuddalore
CUDDALORE RTO,TN31,Cuddalore
NEYVELI UO,TN562,Cuddalore
PANRUTI UO,TN626,Cuddalore
VIRUDHACHALAM UO,TN553,Cuddalore  
DHARMAPURI RTO,TN29,Dharmapuri
HARUR UO,TN527,Dharmapuri
PALACODE UO,TN616,Dharmapuri
BATLAGUNDU UO,TN596,Dindigul
DINDIGUL RTO,TN57,Dindigul
NATHAM UO,TN640,Dindigul
ODDANCHATRAM  UO,TN595,Dindigul
PALANI RTO,TN597,Dindigul
VEDACHANDUR UO,TN617,Dindigul  
BHAVANI UO,TN578,Erode
ERODE RTO,TN33,Erode
ERODE (WEST) RTO,TN86,Erode
GOPICHETTIPALAYAM RTO,TN36,Erode
PERUNDURAI RTO,TN56,Erode
SATHYAMANGALAM UO,TN579,Erode  
KALLAKURICHI RTO,TN615,Kallakurichi
ULUNDURPET RTO,TN577,Kallakurichi  
KANCHEEPURAM RTO,TN21,Kancheepuram
KUNDRATHUR RTO,TN85,Kancheepuram
SRIPERUMBUDUR RTO,TN614,Kancheepuram  
MARTHANDAM RTO,TN75,Kanyakumari
NAGERCOIL RTO,TN74,Kanyakumari
ARAVAKURICHI UO,TN632,Karur
KARUR RTO,TN47,Karur
KULITHALI UO,TN585,Karur
MANMANGALAM UO,TN637,Karur
HOSUR RTO,TN70,Krishnagiri
KRISHNAGIRI RTO,TN24,Krishnagiri
MADURAI (CENTRAL) RTO,TN64,Madurai
MADURAI (NORTH) RTO,TN59,Madurai
MADURAI (SOUTH) RTO,TN58,Madurai
MELUR UO,TN600,Madurai
THIRUMANGALAM  UO,TN598,Madurai  
USILAMPATTI UO,TN636,Madurai  
VADIPATTI UO,TN599,Madurai  
MAYILADUTHURAI RTO,TN589,Mayiladuthurai
SIRKALI UO,TN623,Mayiladuthurai  
NAGAPATTINAM RTO,TN51,Nagapattinam
KUMARAPALAYAM RTO,TN638,Namakkal
NAMAKKAL (NORTH) RTO,TN28,Namakkal
NAMAKKAL (SOUTH) RTO,TN88,Namakkal
PARAMATHI VELLURE UO,TN517,Namakkal
RASIPURAM UO,TN526,Namakkal  
TIRUCHENGODE RTO,TN34,Namakkal  
GUDALORE UO,TN582,Nilgiris
OOTY RTO,TN43,Nilgiris
PERAMBALUR RTO,TN46,Perambalur
ALANGUDI UO,TN641,Pudukkottai
ARANTHANGI UO,TN592,Pudukkottai
ILLUPPUR UO,TN629,Pudukkottai
PUDUKOTTAI RTO,TN55,Pudukkottai  
PARAMAKUDI UO,TN603,Ramanathapuram
RAMANATHAPURAM RTO,TN65,Ramanathapuram  
ARAKKONAM UO,TN609,Ranipet
RANIPET RTO,TN73,Ranipet  
ATTUR RTO,TN591,Salem
METTUR RTO,TN590,Salem
MUSURI UO,TN621,Salem
OMALURE UO,TN535,Salem
SALEM (EAST) RTO,TN54,Salem  
SALEM (SOUTH) RTO,TN90,Salem  
SALEM (WEST) RTO,TN30,Salem  
SANKAGIRI RTO,TN52,Salem  
VALAPPADI UO,TN613,Salem  
KARAIKUDI UO,TN602,Sivaganga
SIVAGANGAI RTO,TN63,Sivaganga  
SANKARANKOVIL RTO,TN610,Tenkasi  
TENKASI RTO,TN76,Tenkasi  
KUMBAKONAM RTO,TN68,Thanjavur
PATTUKOTTAI UNIT OFFICE,TN587,Thanjavur
THANJAVUR RTO,TN49,Thanjavur  
THENI RTO,TN60,Theni  
UTHAMAPALAYAM UO,TN601,Theni  
REDHILLS RTO,TN18,Tiruvallur  
THIRUTTANI UO,TN634,Tiruvallur  
TIRUVALLUR RTO,TN20,Tiruvallur  
KOVILPATTI RTO,TN607,Thoothukudi
THIRUCHENDUR RTO,TN606,Thoothukudi  
THOOTHUKUDI RTO,TN69,Thoothukudi  
LALKUDI UO,TN631,Tiruchirappalli
MANAPARAI UO,TN584,Tiruchirappalli
SRIRANGAM RTO,TN48,Tiruchirappalli  
TIRUCHI(EAST) RTO,TN81,Tiruchirappalli  
TIRUCHI RTO,TN45,Tiruchirappalli  
TIRUVERANBUR UO,TN583,Tiruchirappalli  
ALANGULAM UO,TN644,Tirunelveli
AMBASAMUTHIRAM UO,TN611,Tirunelveli
TIRUNELVELI RTO,TN72,Tirunelveli  
VALLIYUR UO,TN608,Tirunelveli  
AMBUR UO,TN628,Tirupattur
THIRUPATTUR RTO,TN624,Tirupattur  
VANIYAMBADI RTO,TN515,Tirupattur  
AVINASHI UO,TN580,Tiruppur
DHARAPURAM RTO,TN594,Tiruppur
KANGEYAM UO,TN593,Tiruppur
TIRUPPUR (NORTH) RTO,TN39,Tiruppur  
TIRUPPUR (SOUTH) RTO,TN42,Tiruppur  
UDUMALPET RTO,TN581,Tiruppur  
GUMMIDIPOONDI UO,TN625,Tiruvallur
ARANI RTO,TN516,Tiruvannamalai
CHEYYAR UO,TN635,Tiruvannamalai
TIRUVANNAMALAI RTO,TN25,Tiruvannamalai  
MANNARGUDI UO,TN588,Tiruvarur
THIRUTHURAIPOONDI UO,TN630,Tiruvarur  
TIRUVARUR RTO,TN50,Tiruvarur  
THURAIYUR UO,TN586,Tiruchirappalli 
GUDIYATHAM UO,TN514,Vellore
VELLORE RTO,TN23,Vellore  
GINGEE UO,TN627,Villuppuram
TINDIVANAM RTO,TN571,Villuppuram  
VILUPPURAM RTO,TN32,Villuppuram  
ARUPPUKOTTAI UO,TN622,Virudhunagar
RAJAPALAYAM UO,TN643,Virudhunagar  
SIVAKASI RTO,TN604,Virudhunagar  
SRIVILLIPUTHUR RTO,TN605,Virudhunagar  
VIRUDHUNAGAR RTO,TN67,Virudhunagar  
