ACC_YYMM,STATE_NAME,STATE_CODE,DISTRICT,BRANCH_CODE,BRANCH_NAME,CONTR_DESC,ASSET_MAKE_DESC,ASSET_TYPE,ASSET_LEVEL2_DESC,ASSET_CLASS_DESC,UNITS SOLD
202505,TAMIL NADU,TN,KANYAKUMARI,411,NAGERCOIL,NEW VEHICLES,MARUTI,SANTRO,HATCHBACK,SMALL CARS,8
202501,TAMIL NADU,TN,CHENGALPATTU,661,MELMARUVATHUR,NEW VEHICLES,HYUNDAI,CITY,SUV,LUXURY,4
202506,TAMIL NADU,TN,MADURAI,207,MADURAI / SME,USED VEHICLES,TATA,CITY,SEDAN,LUXURY,10
202408,TAMIL NADU,TN,MADURAI,898,MADURAI / TRACTOR,NEW VEHICLES,TATA,SANTRO,SEDAN,SMALL CARS,10
202507,TAMIL NADU,TN,ERODE,754,BHAVANI,NEW VEHICLES,TATA,SWIFT,SEDAN,MID SIZE,1
202412,TAMIL NADU,TN,TIRUCHIRAPPALLI,867,THURAIYUR,NEW VEHICLES,MARUTI,SWIFT,SUV,SMALL CARS,7
202410,TAMIL NADU,TN,CHENNAI,823,CHENNAI - T NAGAR / DEPOSITS,USED VEHICLES,TATA,NEXON,SEDAN,SMALL CARS,9
202501,TAMIL NADU,TN,TIRUVALLUR,246,CHENNAI - AVADI,USED VEHICLES,MARUTI,SANTRO,SUV,SMALL CARS,7
202409,TAMIL NADU,TN,CHENGALPATTU,211,CHENGALPATTU,USED VEHICLES,TATA,NEXON,SUV,LUXURY,3
202411,TAMIL NADU,TN,CUDDALORE,518,VIRUDHACHALAM / TRACTOR,NEW VEHICLES,HYUNDAI,CITY,SEDAN,LUXURY,9
202409,TAMIL NADU,TN,CHENNAI,180,CHENNAI - WHITES ROAD / RETAIL,NEW VEHICLES,HONDA,SWIFT,HATCHBACK,MID SIZE,5
202409,TAMIL NADU,TN,KANCHEEPURAM,919,KANCHEEPURAM / TRACTOR,USED VEHICLES,HYUNDAI,SWIFT,SUV,LUXURY,7
202506,TAMIL NADU,TN,TIRUVARUR,154,TIRUTHURAIPUNDI,NEW VEHICLES,MARUTI,NEXON,HATCHBACK,MID SIZE,9
202502,TAMIL NADU,TN,NAMAKKAL,569,TIRUCHENGODE,NEW VEHICLES,MARUTI,SWIFT,SEDAN,MID SIZE,4
202410,TAMIL NADU,TN,MADURAI,958,MADURAI / SME,NEW VEHICLES,TATA,SANTRO,HATCHBACK,LUXURY,4
202412,TAMIL NADU,TN,MADURAI,272,MADURAI / RETAIL,NEW VEHICLES,MARUTI,SWIFT,SEDAN,SMALL CARS,5
202409,TAMIL NADU,TN,DINDIGUL,600,ODDANCHATRAM,USED VEHICLES,HYUNDAI,SWIFT,SEDAN,MID SIZE,6
202503,TAMIL NADU,TN,VIRUDHUNAGAR,960,SIVAKASI,USED VEHICLES,HONDA,SWIFT,SUV,SMALL CARS,7
202503,TAMIL NADU,TN,COIMBATORE,799,UDUMALPET,NEW VEHICLES,HYUNDAI,CITY,HATCHBACK,SMALL CARS,10
202407,TAMIL NADU,TN,THENI,906,THENI,USED VEHICLES,TATA,CITY,SEDAN,LUXURY,5
202409,TAMIL NADU,TN,TIRUPPUR,459,TIRUPPUR / RETAIL,NEW VEHICLES,MARUTI,NEXON,HATCHBACK,LUXURY,7
202408,TAMIL NADU,TN,COIMBATORE,267,COIMBATORE / TRACTOR,NEW VEHICLES,TATA,SWIFT,HATCHBACK,SMALL CARS,3
202411,TAMIL NADU,TN,SALEM,900,METTUR,NEW VEHICLES,MARUTI,NEXON,HATCHBACK,MID SIZE,9
202505,TAMIL NADU,TN,COIMBATORE,173,COIMBATORE - VADAVALLI / DISTRIBUTION,USED VEHICLES,HYUNDAI,NEXON,SUV,MID SIZE,10
202506,TAMIL NADU,TN,THOOTHUKUDI,718,KOVILPATTI,NEW VEHICLES,HONDA,SANTRO,HATCHBACK,SMALL CARS,10
202407,TAMIL NADU,TN,THANJAVUR,350,THANJAVUR,NEW VEHICLES,HONDA,SANTRO,SUV,SMALL CARS,9
202410,TAMIL NADU,TN,CUDDALORE,927,CHIDAMBARAM,NEW VEHICLES,MARUTI,CITY,HATCHBACK,MID SIZE,6
202502,TAMIL NADU,TN,TIRUVANNAMALAI,399,ARNI,NEW VEHICLES,HYUNDAI,SWIFT,SUV,LUXURY,9
202409,TAMIL NADU,TN,NILGIRIS,377,OOTY,NEW VEHICLES,HYUNDAI,CITY,HATCHBACK,MID SIZE,4
202504,TAMIL NADU,TN,TIRUPPUR,353,TIRUPPUR / RETAIL,USED VEHICLES,TATA,CITY,SEDAN,MID SIZE,3
202408,TAMIL NADU,TN,NAGAPATTINAM,456,MAYILADUTHURAI,USED VEHICLES,TATA,NEXON,HATCHBACK,MID SIZE,5
202411,TAMIL NADU,TN,CHENNAI,490,CHENNAI - VILLIVAKKAM / RETAIL,USED VEHICLES,HONDA,NEXON,HATCHBACK,MID SIZE,3
202501,TAMIL NADU,TN,SALEM,713,SANKARI,USED VEHICLES,MARUTI,SWIFT,SEDAN,MID SIZE,7
202503,TAMIL NADU,TN,VELLORE,429,VELLORE / COMMERCIAL,NEW VEHICLES,TATA,SANTRO,HATCHBACK,SMALL CARS,8
202408,TAMIL NADU,TN,MADURAI,237,MADURAI / SME,NEW VEHICLES,HYUNDAI,SANTRO,HATCHBACK,MID SIZE,7
202506,TAMIL NADU,TN,TIRUCHIRAPPALLI,952,TRICHY / TRACTOR,NEW VEHICLES,HYUNDAI,NEXON,HATCHBACK,SMALL CARS,5
202408,TAMIL NADU,TN,DINDIGUL,745,ODDANCHATRAM,NEW VEHICLES,HONDA,SANTRO,HATCHBACK,MID SIZE,6
202505,TAMIL NADU,TN,NAGAPATTINAM,274,NAGAPATTINAM,USED VEHICLES,HONDA,SANTRO,HATCHBACK,LUXURY,4
202504,TAMIL NADU,TN,COIMBATORE,740,POLLACHI,USED VEHICLES,HONDA,SWIFT,SEDAN,MID SIZE,7
202504,TAMIL NADU,TN,KANCHEEPURAM,754,KANCHEEPURAM,USED VEHICLES,MARUTI,SANTRO,HATCHBACK,LUXURY,7
202407,TAMIL NADU,TN,TIRUVANNAMALAI,517,ARNI,NEW VEHICLES,HYUNDAI,CITY,HATCHBACK,MID SIZE,5
202408,TAMIL NADU,TN,THANJAVUR,704,THANJAVUR / TRACTOR,USED VEHICLES,MARUTI,CITY,HATCHBACK,LUXURY,8
202412,TAMIL NADU,TN,COIMBATORE,558,COIMBATORE / RETAIL,USED VEHICLES,HYUNDAI,CITY,HATCHBACK,LUXURY,4
202502,TAMIL NADU,TN,CHENNAI,708,CHENNAI - VALASARAVAKKAM / DISTRIBUTION,USED VEHICLES,HYUNDAI,CITY,SEDAN,LUXURY,2
202505,TAMIL NADU,TN,VELLORE,909,TIRUPATTUR,NEW VEHICLES,HYUNDAI,NEXON,SEDAN,SMALL CARS,10
202412,TAMIL NADU,TN,TIRUVALLUR,363,TIRUVALLUR / TRACTOR,USED VEHICLES,HYUNDAI,NEXON,SEDAN,MID SIZE,5
202409,TAMIL NADU,TN,NAMAKKAL,138,TIRUCHENGODE,NEW VEHICLES,TATA,CITY,SEDAN,MID SIZE,4
202502,TAMIL NADU,TN,VIRUDHUNAGAR,501,VIRUDHUNAGAR,NEW VEHICLES,HYUNDAI,SANTRO,SUV,SMALL CARS,9
202506,TAMIL NADU,TN,TIRUNELVELI,601,TIRUNELVELI / DISTRIBUTION,USED VEHICLES,MARUTI,CITY,HATCHBACK,MID SIZE,3
202408,TAMIL NADU,TN,VIRUDHUNAGAR,474,SIVAKASI,USED VEHICLES,MARUTI,NEXON,SUV,LUXURY,9
202505,TAMIL NADU,TN,TIRUVANNAMALAI,107,TIRUVANNAMALAI / TRACTOR,NEW VEHICLES,TATA,NEXON,SEDAN,SMALL CARS,8
202505,TAMIL NADU,TN,PUDUKKOTTAI,867,PUDUKKOTTAI,USED VEHICLES,HONDA,SANTRO,SUV,LUXURY,2
202409,TAMIL NADU,TN,VELLORE,417,VELLORE / COMMERCIAL,NEW VEHICLES,TATA,SANTRO,HATCHBACK,MID SIZE,8
202501,TAMIL NADU,TN,TIRUPPUR,194,TIRUPPUR / RETAIL,USED VEHICLES,HONDA,SANTRO,SEDAN,LUXURY,2
202503,TAMIL NADU,TN,NAGAPATTINAM,438,NAGAPATTINAM,NEW VEHICLES,TATA,SANTRO,SEDAN,SMALL CARS,2
202410,TAMIL NADU,TN,VILLUPPURAM,932,VILLUPPURAM,NEW VEHICLES,HYUNDAI,SWIFT,SUV,MID SIZE,9
202412,TAMIL NADU,TN,TIRUVALLUR,862,PONNERI,USED VEHICLES,TATA,NEXON,SUV,SMALL CARS,1
202505,TAMIL NADU,TN,CHENNAI,673,CHENNAI - AMBATTUR / DISTRIBUTION,USED VEHICLES,HYUNDAI,SANTRO,HATCHBACK,LUXURY,4
